timestamp,mode,target_class,focus_label,focus_zone,direction,distance_m,event_type,spoken_text
1769729118.6504033,navigation,,person,near,ahead,0.5,first_obstacle,"person ahead, within one meter."
1769729128.3498623,navigation,,,,,,ocr,ocr_none
1769729131.4743085,navigation,,person,mid,right,1.0,obstacle_closer,"person right, about 1.0 meters."
1769729138.3794923,navigation,,,,,,ocr,ocr_none
1769729148.4426646,navigation,,,,,,ocr,ocr_none
1769729149.0177808,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769729158.5178533,navigation,,,,,,ocr,ocr_none
1769729168.5270934,navigation,,,,,,ocr,ocr_none
1769729173.8695848,navigation,,person,mid,right,1.0,obstacle_closer,"person right, about 1.0 meters."
1769729178.9376826,navigation,,,,,,ocr,ocr_none
1769729179.508879,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769729188.9473977,navigation,,,,,,ocr,Kumall
1769729191.8914518,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769729196.4732943,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769729200.197215,navigation,,,,,,ocr,ocr_none
1769729210.218512,navigation,,,,,,ocr,ocr_none
1769729213.309846,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769729220.2342331,navigation,,,,,,ocr,ocr_none
1769729223.7105036,navigation,,person,near,right,0.5,obstacle_near,"person right, very close."
1769729227.467292,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769729231.9712024,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769729231.9712024,navigation,,,,,,ocr,ocr_none
1769729236.8888674,navigation,,,,,,path_clear,Path ahead seems clear.
1769729768.7459958,navigation,,person,near,ahead,0.5,first_obstacle,"person ahead, within one meter."
1769729778.4311638,navigation,,,,,,ocr,ocr_none
1769729897.6359344,navigation,,person,near,right,0.5,first_obstacle,"person right, within one meter."
1769729905.485717,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769729909.8854299,navigation,,,,,,ocr,ocr_none
1769729910.5028813,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769729914.0854204,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769729914.0854204,navigation,,,,,,vlm_caption,Scene summary: a man taking a picture of himself
1769729925.18595,navigation,,,,,,path_clear,Path ahead seems clear.
1769729925.18595,navigation,,,,,,ocr,ocr_none
1769729929.0054061,navigation,,person,mid,right,1.0,first_obstacle,"person right, about 1.0 meters."
1769729933.590947,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top
1769729939.3168778,navigation,,,,,,ocr,ocr_none
1769729948.6412365,navigation,,,,,,vlm_caption,Scene summary: a man wearing a white tank top
1769729954.8095083,navigation,,,,,,ocr,ocr_none
1769729957.5566838,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769729963.6794517,navigation,,,,,,vlm_caption,Scene summary: a man with glasses and a white tank top
1769729970.652853,navigation,,,,,,ocr,ocr_none
1769729978.702728,navigation,,,,,,vlm_caption,Scene summary: a man with glasses and a white tank top
1769729985.448822,navigation,,,,,,ocr,ocr_none
1769729986.0041983,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769729990.677244,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769729994.3626776,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top holding a cell phone
1769730001.4448555,navigation,,,,,,ocr,ocr_none
1769730002.0111713,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769730009.4186745,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top brushing his teeth
1769730016.708422,navigation,,,,,,ocr,ocr_none
1769730022.9938576,navigation,,person,near,left,0.5,obstacle_near,"person left, very close."
1769730027.0100543,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769730027.0100543,navigation,,,,,,ocr,ocr_none
1769730027.0100543,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top
1769730037.5751355,navigation,,,,,,ocr,ocr_none
1769730038.1225884,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769730042.0220778,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top drinking from a pink bottle
1769730050.1967297,navigation,,,,,,ocr,ocr_none
1769730050.7522216,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769730055.5475278,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769730059.2189977,navigation,,,,,,vlm_caption,Scene summary: a man with no shirt
1769730064.7132058,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769730064.7132058,navigation,,,,,,ocr,ocr_none
1769730070.3745017,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769730074.2309804,navigation,,,,,,vlm_caption,Scene summary: a man wearing a white tank top
1769730080.0033472,navigation,,,,,,ocr,ocr_none
1769730089.2425685,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top sitting on a bed
1769730096.6180754,navigation,,,,,,ocr,ocr_none
1769730104.3015978,navigation,,,,,,vlm_caption,Scene summary: a man wearing a white tank top
1769730110.0710359,navigation,,,,,,ocr,ocr_none
1769730119.3105044,navigation,,,,,,vlm_caption,Scene summary: a man holding a cell phone in his hand
1769730126.1358702,navigation,,,,,,ocr,Doodlel consearch? Sonchr MUrd INana Ehrchure S6xt Idctg Awopore Dloltel Sloncturs 0a eu4et
1769730139.5510116,navigation,,,,,,path_clear,Path ahead seems clear.
1769730139.5510116,navigation,,,,,,ocr,ocr_none
1769730139.5510116,navigation,,,,,,vlm_caption,Scene summary: a man holding a cell phone in his hand
1769730149.7439818,navigation,,person,near,ahead,0.5,first_obstacle,"person ahead, within one meter."
1769730149.7439818,navigation,,,,,,ocr,ocr_none
1769730154.5943236,navigation,,,,,,vlm_caption,Scene summary: a hand holding a cell phone with a picture on the screen
1769730162.3474867,navigation,,,,,,ocr,Kunal
1769730164.73695,navigation,,person,mid,left,1.0,obstacle_closer,"person left, about 1.0 meters."
1769730169.3390484,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769730173.2940838,navigation,,,,,,ocr,ocr_none
1769730173.2940838,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top
1769730183.3437643,navigation,,,,,,ocr,ocr_none
1769730188.3376174,navigation,,,,,,vlm_caption,Scene summary: a man wearing a white tank top
1769730194.56513,navigation,,,,,,ocr,ocr_none
1769730203.3577132,navigation,,,,,,vlm_caption,Scene summary: a man wearing a white tank top
1769730209.210933,navigation,,,,,,ocr,ocr_none
1769730218.4036908,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top and glasses
1769730224.9822652,navigation,,,,,,ocr,ocr_none
1769730233.43934,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top is brushing his teeth
1769730241.3257852,navigation,,,,,,ocr,ocr_none
1769732869.662505,navigation,,person,near,ahead,0.5,first_obstacle,"person ahead, within one meter."
1769732874.3744838,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769732879.1646335,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769732882.9784753,navigation,,,,,,ocr,ocr_none
1769732884.2838418,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top sitting on a bed
1769732893.0493433,navigation,,,,,,ocr,ocr_none
1769732899.363829,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top sitting on a bed
1769732906.4603434,navigation,,,,,,ocr,ocr_none
1769732911.9004378,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769732916.3456657,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769732916.3456657,navigation,,,,,,vlm_caption,Scene summary: a man wearing a white tank top
1769732925.7279816,navigation,,,,,,ocr,ocr_none
1769732929.5171168,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769732934.163548,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top sitting on a bed
1769732940.9515538,navigation,,,,,,ocr,ocr_none
1769732949.2121782,navigation,,,,,,vlm_caption,Scene summary: a man wearing a white tank top
1769732955.3613195,navigation,,,,,,ocr,ocr_none
1769732959.108874,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769732963.0324073,navigation,,person,mid,right,1.0,obstacle_closer,"person right, about 1.0 meters."
1769732967.3377938,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769732967.3377938,navigation,,,,,,ocr,Kundl
1769732967.3377938,navigation,,,,,,vlm_caption,Scene summary: a man holding a cell phone in his hand
1769732979.6380243,navigation,,,,,,ocr,Kunal
1769732982.4117453,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top sitting in front of a laptop
1769732990.0710511,navigation,,,,,,ocr,ocr_none
1769732997.4205608,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top is brushing his teeth
1769733005.0072129,navigation,,,,,,ocr,ocr_none
1769733012.4384525,navigation,,,,,,vlm_caption,Scene summary: a man wearing a white tank top
1769733018.4544706,navigation,,,,,,ocr,ocr_none
1769733020.020561,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769733024.6891944,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769733028.1806507,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top sitting on a bed
1769733035.2428951,navigation,,,,,,ocr,ocr_none
1769733036.4405,navigation,,person,mid,ahead,1.0,obstacle_closer,"person ahead, about 1.0 meters."
1769733040.6123967,navigation,,person,near,ahead,0.5,obstacle_near,"person ahead, very close."
1769733044.2274287,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top
1769733049.4373422,navigation,,,,,,ocr,ocr_none
1769733059.2431247,navigation,,,,,,vlm_caption,Scene summary: a man in a white tank top
1769733064.792026,navigation,,,,,,ocr,ocr_none
